Variable,Level,RMSE,MAE,BIAS,ACC,RelDiff (%),Pred_Min,Pred_Max,Ref_Min,Ref_Max
w,750.0,0.31875771284103394,0.19415825605392456,-0.003492538118734956,0.15051136910915375,4545.22216796875,-3.7646312713623047,1.6139410734176636,-7.205263137817383,4.419496536254883
w,1000.0,0.34324774146080017,0.2008398324251175,-0.005001048557460308,0.15635770559310913,5666.60986328125,-4.223209381103516,1.507507562637329,-9.175439834594727,5.87623405456543
w,1250.0,0.3606835603713989,0.20233255624771118,-0.006453370209783316,0.1613616645336151,6774.93212890625,-4.681658744812012,1.4331035614013672,-10.424727439880371,6.4032697677612305
w,1500.0,0.38384461402893066,0.20965524017810822,-0.007741925772279501,0.16226762533187866,7974.375,-4.917744159698486,1.358361840248108,-11.420417785644531,7.274339199066162
w,2000.0,0.3982502818107605,0.20915329456329346,-0.008617762476205826,0.17606738209724426,10473.7041015625,-4.919487476348877,1.462306261062622,-12.188782691955566,7.354098796844482
w,2500.0,0.39460936188697815,0.2022218257188797,-0.0065363021567463875,0.1969633847475052,18000.578125,-4.920320510864258,1.620466947555542,-13.017797470092773,6.333967685699463
w,3000.0,0.38264963030815125,0.1930030882358551,-0.005602236837148666,0.21491137146949768,34809.26171875,-4.920185089111328,1.6840648651123047,-12.823371887207031,4.761954307556152
w,3500.0,0.36643534898757935,0.18314702808856964,-0.005156569182872772,0.23524503409862518,42237.49609375,-4.919614791870117,1.609362244606018,-12.663274765014648,4.381329536437988
w,4000.0,0.3537086248397827,0.17593830823898315,-0.0036017782986164093,0.2485349178314209,45997.83203125,-4.918546676635742,1.3393415212631226,-11.825532913208008,4.8065032958984375
w,4500.0,0.34630364179611206,0.17200565338134766,-0.0030784409027546644,0.2574502229690552,72757.359375,-4.917562484741211,1.2517858743667603,-12.783977508544922,4.24664831161499
w,5000.0,0.33697226643562317,0.16722284257411957,-0.004042031243443489,0.267305850982666,50046.48828125,-4.597646236419678,1.4299702644348145,-13.70952320098877,3.5634851455688477
w,6000.0,0.3075163662433624,0.15681754052639008,-0.00532317440956831,0.28859853744506836,19271.919921875,-3.776102066040039,0.9307903051376343,-13.888702392578125,3.6659839153289795
w,7000.0,0.28101202845573425,0.14626334607601166,-0.0041522313840687275,0.30500689148902893,13994.9765625,-3.9382433891296387,0.7464034557342529,-12.201254844665527,2.9871981143951416
w,8000.0,0.25145986676216125,0.13540397584438324,-0.003125348361209035,0.3189197778701782,13232.23828125,-4.509799957275391,0.8478845953941345,-9.430450439453125,2.6256935596466064
w,9000.0,0.21969671547412872,0.12322042882442474,-0.0014711738331243396,0.3261023461818695,9015.681640625,-4.583712577819824,0.6153751015663147,-7.385132312774658,2.1695666313171387
w,10000.0,0.19342707097530365,0.11266077309846878,-0.000786071177572012,0.3183596730232239,6795.7099609375,-3.658822536468506,0.6073892116546631,-4.944728851318359,2.328354597091675
w,11500.0,0.15227533876895905,0.09045326709747314,-0.0014406051486730576,0.26612648367881775,5545.18505859375,-1.4573893547058105,0.8379243016242981,-3.4376652240753174,2.0122623443603516
w,13000.0,0.11362206935882568,0.06904725730419159,-0.0010073896264657378,0.20077772438526154,4163.7939453125,-0.8201358318328857,0.5466316938400269,-2.1503372192382812,1.4534177780151367
w,15000.0,0.06582639366388321,0.04196329787373543,-0.0007601287798024714,0.1283528357744217,3005.333740234375,-0.4424673914909363,0.3821093440055847,-0.7751933336257935,1.0079442262649536
w,17500.0,0.028413912281394005,0.019557969644665718,-0.001891296822577715,0.029200317338109016,1502.34912109375,-9.483098750706631e-08,7.497335019479578e-08,-0.41072145104408264,0.49010205268859863
w,20000.0,0.018075650557875633,0.01186332292854786,-0.0014135699020698667,-0.003710757475346327,1278.719970703125,-9.032774528350274e-08,7.652998590401694e-08,-0.28998899459838867,0.29392677545547485
q,2.0,0.0064553674310445786,0.0038996480870991945,0.0027600459288805723,0.7914285659790039,71.04823303222656,2.65021481027361e-06,0.03500000014901161,1.0000000116860974e-07,0.03028193674981594
q,10.0,0.006434224080294371,0.0038862177170813084,0.0027504777535796165,0.7923803329467773,70.88932037353516,2.6605923721945146e-06,0.03500000014901161,1.0000000116860974e-07,0.03022386133670807
q,20.0,0.006407364271581173,0.003869258798658848,0.002738318871706724,0.7935829162597656,70.68539428710938,2.6735613118944457e-06,0.03500000014901161,1.0000000116860974e-07,0.030151259154081345
q,50.0,0.006326645612716675,0.0038184928707778454,0.002701639197766781,0.7971775531768799,70.06813049316406,2.7124735879624495e-06,0.03500000014901161,1.0000000116860974e-07,0.029933465644717216
q,75.0,0.00625929469242692,0.003776394762098789,0.002670953283086419,0.8001741170883179,69.54739379882812,2.7449036679172423e-06,0.03500000014901161,1.0000000116860974e-07,0.0297519713640213
q,100.0,0.006191299296915531,0.003734010038897395,0.0026391150895506144,0.803118109703064,69.01399993896484,2.7773335204983596e-06,0.03500000014901161,1.0000000116860974e-07,0.029570477083325386
q,150.0,0.006048049312084913,0.0036465723533183336,0.002570647280663252,0.8091462254524231,67.84909057617188,2.84220141111291e-06,0.03500000014901161,1.0000000116860974e-07,0.029207484796643257
q,200.0,0.005901438184082508,0.003558098804205656,0.0024986076168715954,0.8151047825813293,66.62326049804688,1.764617809385527e-05,0.03500000014901161,1.0000000116860974e-07,0.028844498097896576
q,300.0,0.005588894244283438,0.0033753153402358294,0.0023425468243658543,0.8273642659187317,63.89201736450195,3.124154682154767e-05,0.03500000014901161,6.980285979807377e-05,0.028118517249822617
q,400.0,0.005253528710454702,0.003186523914337158,0.0021960646845400333,0.8416288495063782,61.00773239135742,5.6207874877145514e-05,0.03500000014901161,7.77664317865856e-05,0.02739660255610943
q,500.0,0.0048831431195139885,0.002988578984513879,0.0020507187582552433,0.8578196167945862,57.742698669433594,8.197594434022903e-05,0.03500000014901161,9.228449198417366e-05,0.02670096606016159
q,750.0,0.003955972380936146,0.002527018776163459,0.0017750334227457643,0.9031302332878113,49.87109375,0.00011613854439929128,0.03346489742398262,4.948693094775081e-05,0.025005552917718887
q,1000.0,0.0032015179749578238,0.002114043803885579,0.0016170867020264268,0.94429612159729,44.0836296081543,0.0001630710466997698,0.029003163799643517,4.321752567193471e-05,0.023392539471387863
q,1250.0,0.0027677807956933975,0.0018104907358065248,0.0014503656420856714,0.9597669243812561,42.05464172363281,0.00018294180335942656,0.02747475355863571,2.8186317649669945e-05,0.021888449788093567
q,1500.0,0.0026859526988118887,0.0017523582791909575,0.0013729948550462723,0.9501322507858276,45.565513610839844,0.00016185759159270674,0.025939712300896645,1.0136770470126066e-05,0.020412636920809746
q,2000.0,0.0024956450797617435,0.0015909833600744605,0.001259214011952281,0.9482148885726929,52.681602478027344,0.00010941470827674493,0.022948922589421272,9.726511962071527e-06,0.017731955274939537
q,2500.0,0.002263696165755391,0.0014113864162936807,0.0011360329808667302,0.9512448310852051,57.94643783569336,0.00010665164154488593,0.02083749510347843,6.675658710264543e-07,0.015339657664299011
q,3000.0,0.0020554373040795326,0.0012587192468345165,0.0010348097421228886,0.9545174837112427,62.777854919433594,8.68969364091754e-05,0.019117826595902443,1.0000000116860974e-07,0.01321259792894125
q,3500.0,0.0018651541322469711,0.0011240846943110228,0.0009290938614867628,0.9560641050338745,67.19788360595703,7.685992022743449e-05,0.017423029989004135,1.0000000116860974e-07,0.011325439438223839
q,4000.0,0.0017037877114489675,0.0010167330037802458,0.000853105855640024,0.957345187664032,72.32197570800781,6.967944500502199e-05,0.01567896082997322,1.1230436314235703e-07,0.009651375003159046
q,4500.0,0.0015173476422205567,0.0009001122089102864,0.0007540942751802504,0.9543101191520691,76.39237976074219,4.085597538505681e-05,0.013540796004235744,1.0000000116860974e-07,0.008282332681119442
q,5000.0,0.0013321813894435763,0.0007797942962497473,0.0006671541486866772,0.9539321064949036,80.7383804321289,1.7960059267352335e-05,0.011751070618629456,1.0000000116860974e-07,0.007363467011600733
q,6000.0,0.0009952605469152331,0.000577610800974071,0.0005065515288151801,0.949910044670105,90.13389587402344,2.706492887227796e-05,0.009085031226277351,3.3575255997675413e-07,0.00572810135781765
q,7000.0,0.0007562367827631533,0.0004343610489740968,0.00039638159796595573,0.9460545778274536,106.30628204345703,1.2076159691787325e-05,0.006837899796664715,1.0000000116860974e-07,0.0041961222887039185
q,8000.0,0.0005924763390794396,0.0003407757612876594,0.0003266862768214196,0.94642573595047,133.2102508544922,4.73044610771467e-06,0.005057040601968765,1.0000000116860974e-07,0.0028187772259116173
q,9000.0,0.0004328166542109102,0.00024517494603060186,0.0002406966668786481,0.9484127163887024,164.552001953125,6.106717137299711e-06,0.0034065963700413704,3.574411664430954e-07,0.0017391929868608713
q,10000.0,0.00028310969355516136,0.0001600333780515939,0.00015830043412279338,0.9429171085357666,194.7716522216797,4.98180634167511e-06,0.0019872633274644613,1.0000000116860974e-07,0.0009270121809095144
q,11500.0,0.00011000200174748898,6.524022319354117e-05,6.483952165581286e-05,0.9399823546409607,202.4885711669922,2.5726571948325727e-06,0.0007497628103010356,1.111710261625376e-07,0.00031870760722085834
q,13000.0,3.871394073939882e-05,2.4166834919014946e-05,2.4039529307628982e-05,0.9318838715553284,225.73500061035156,1.8399326791040949e-06,0.00023387224064208567,7.783540922901011e-07,8.654295379528776e-05
q,15000.0,7.454914339177776e-06,5.244751264399383e-06,5.23472590430174e-06,0.9073026180267334,179.36346435546875,1.2656289527512854e-06,3.618161645135842e-05,8.062299343691848e-07,1.5051333321025595e-05
q,17500.0,4.8554370550846215e-06,3.7363952287705615e-06,3.7361398881330388e-06,0.46744871139526367,274.9954833984375,1.1159012274220004e-06,1.77332476596348e-05,8.917439799915883e-07,2.755398327281e-06
